name, surname, mail, team
6lw23, test1, 6lw23.test1@inbox.testmail.app, team1
6lw23, test2, 6lw23.test2@inbox.testmail.app, team2
6lw23, test3, 6lw23.test3@inbox.testmail.app, team3
6lw23, test4, 6lw23.test4@inbox.testmail.app, team4
6lw23, test5, 6lw23.test5@inbox.testmail.app, team5
6lw23, test6, 6lw23.test6@inbox.testmail.app, team6
6lw23, test7, 6lw23.test7@inbox.testmail.app, team7
6lw23, test8, 6lw23.test8@inbox.testmail.app, team8
6lw23, test9, 6lw23.test9@inbox.testmail.app, team9
6lw23, test10, 6lw23.test10@inbox.testmail.app, team10
